"Unnamed: 0","date","home_team","away_team","home_score","away_score","tournament"
1085,"1927-10-14","Turkey","Bulgaria",3,1,"Friendly"
1086,"1927-10-22","Northern Ireland","England",2,0,"British Home Championship"
1087,"1927-10-23","Czechoslovakia","Italy",2,2,"Central European International Cup"
1088,"1927-10-23","Germany","Norway",6,2,"Friendly"
1089,"1927-10-28","Czechoslovakia","Yugoslavia",5,3,"Friendly"
1090,"1927-10-29","Wales","Scotland",2,2,"British Home Championship"
1091,"1927-10-30","Argentina","Bolivia",7,1,"Copa América"
1092,"1927-10-30","Denmark","Norway",3,1,"Nordic Championship"
1093,"1927-11-01","Peru","Uruguay",0,4,"Copa América"
1094,"1927-11-06","Bolivia","Uruguay",0,9,"Copa América"
1095,"1927-11-06","Italy","Austria",0,1,"Central European International Cup"
1096,"1927-11-06","Switzerland","Sweden",2,2,"Friendly"
1097,"1927-11-07","Honduras","El Salvador",1,0,"Friendly"
1098,"1927-11-08","Honduras","El Salvador",0,0,"Friendly"
1099,"1927-11-13","Netherlands","Sweden",1,0,"Friendly"
1100,"1927-11-13","Peru","Bolivia",3,2,"Copa América"
1101,"1927-11-20","Argentina","Uruguay",3,2,"Copa América"
1102,"1927-11-20","Germany","Netherlands",2,2,"Friendly"
1103,"1927-11-27","Peru","Argentina",1,5,"Copa América"
1104,"1927-11-28","England","Wales",1,2,"British Home Championship"
1105,"1927-12-10","Chile","Uruguay",2,3,"Friendly"
1106,"1928-01-01","Italy","Switzerland",3,2,"Central European International Cup"
1107,"1928-01-08","Belgium","Austria",1,2,"Friendly"
1108,"1928-01-08","Portugal","Spain",2,2,"Friendly"
1109,"1928-02-04","Northern Ireland","Wales",1,2,"British Home Championship"
1110,"1928-02-12","Belgium","Republic of Ireland",2,4,"Friendly"
1111,"1928-02-21","France","Northern Ireland",4,0,"Friendly"
1112,"1928-02-25","Scotland","Northern Ireland",0,1,"British Home Championship"
1113,"1928-03-11","Netherlands","Belgium",1,1,"Friendly"
1114,"1928-03-11","Switzerland","France",4,3,"Friendly"
1115,"1928-03-16","Guyana","Trinidad and Tobago",1,1,"Friendly"
1116,"1928-03-25","Italy","Hungary",4,3,"Central European International Cup"
1117,"1928-03-31","England","Scotland",1,5,"British Home Championship"
1118,"1928-04-01","Austria","Czechoslovakia",0,1,"Central European International Cup"
1119,"1928-04-01","Belgium","Netherlands",1,0,"Friendly"
1120,"1928-04-01","Portugal","Argentina",0,0,"Friendly"
1121,"1928-04-08","Yugoslavia","Turkey",2,1,"Friendly"
1122,"1928-04-15","France","Belgium",2,3,"Friendly"
1123,"1928-04-15","Portugal","Italy",4,1,"Friendly"
1124,"1928-04-15","Romania","Turkey",4,2,"Friendly"
1125,"1928-04-15","Switzerland","Germany",2,3,"Friendly"
1126,"1928-04-15","Uganda","Kenya",4,0,"Friendly"
1127,"1928-04-22","Hungary","Czechoslovakia",2,0,"Central European International Cup"
1128,"1928-04-22","Netherlands","Denmark",2,0,"Friendly"
1129,"1928-04-22","Spain","Italy",1,1,"Friendly"
1130,"1928-04-29","France","Portugal",1,1,"Friendly"
1131,"1928-05-06","Austria","Yugoslavia",3,0,"Friendly"
1132,"1928-05-06","Hungary","Austria",5,5,"Friendly"
1133,"1928-05-06","Switzerland","Netherlands",2,1,"Friendly"
1134,"1928-05-06","Yugoslavia","Romania",3,1,"Friendly"
1135,"1928-05-13","France","Czechoslovakia",0,2,"Friendly"
1136,"1928-05-17","France","England",1,5,"Friendly"
1137,"1928-05-19","Belgium","England",1,3,"Friendly"
1138,"1928-06-03","Finland","Norway",0,6,"Friendly"
1139,"1928-06-07","Sweden","Norway",6,1,"Nordic Championship"
1140,"1928-06-10","Poland","United States",3,3,"Friendly"
1141,"1928-06-14","Netherlands","Egypt",1,2,"Friendly"
1142,"1928-06-17","Norway","Denmark",2,3,"Nordic Championship"
1143,"1928-06-28","Luxembourg","Egypt",1,1,"Friendly"
1144,"1928-07-01","Poland","Sweden",2,1,"Friendly"
1145,"1928-07-06","Latvia","Sweden",0,4,"Friendly"
1146,"1928-07-09","Estonia","Sweden",0,1,"Friendly"
1147,"1928-07-25","Latvia","Lithuania",3,0,"Baltic Cup"
1148,"1928-07-26","Estonia","Lithuania",6,0,"Baltic Cup"
1149,"1928-07-27","Estonia","Latvia",0,1,"Baltic Cup"
1150,"1928-07-29","Sweden","Austria",2,3,"Friendly"
1151,"1928-08-12","Finland","Estonia",2,2,"Friendly"
1152,"1928-08-15","Paraguay","Uruguay",3,1,"Friendly"
1153,"1928-08-17","Belarus","Switzerland",6,3,"Friendly"
1154,"1928-08-19","Belarus","Ukraine",2,6,"Friendly"
1155,"1928-08-19","Latvia","Finland",2,1,"Friendly"
1156,"1928-08-19","Paraguay","Uruguay",1,1,"Friendly"
1157,"1928-08-22","Belarus","Finland",1,2,"Friendly"
1158,"1928-08-30","Argentina","Uruguay",1,0,"Copa Newton"
1159,"1928-09-01","Lithuania","Latvia",1,1,"Friendly"
1160,"1928-09-02","Finland","Sweden",2,3,"Friendly"
1161,"1928-09-16","Germany","Denmark",2,1,"Friendly"
1162,"1928-09-21","Uruguay","Argentina",2,2,"Copa Lipton"
1163,"1928-09-23","Czechoslovakia","Hungary",6,1,"Friendly"
1164,"1928-09-23","Latvia","Estonia",1,1,"Friendly"
1165,"1928-09-23","Norway","Germany",0,2,"Friendly"
1166,"1928-09-30","Sweden","Germany",2,0,"Friendly"
1167,"1928-10-07","Austria","Hungary",5,1,"Central European International Cup"
1168,"1928-10-07","Denmark","Sweden",3,1,"Nordic Championship"
1169,"1928-10-14","Switzerland","Italy",2,3,"Central European International Cup"
1170,"1928-10-22","England","Northern Ireland",2,1,"British Home Championship"
1171,"1928-10-27","Czechoslovakia","Poland",3,2,"Friendly"
1172,"1928-10-27","Scotland","Wales",4,2,"British Home Championship"
1173,"1928-10-28","Austria","Switzerland",2,0,"Central European International Cup"
1174,"1928-10-28","Czechoslovakia","Yugoslavia",7,1,"Friendly"
1175,"1928-11-01","Hungary","Switzerland",3,1,"Central European International Cup"
1176,"1928-11-04","Netherlands","Belgium",1,1,"Friendly"
1177,"1928-11-11","Italy","Austria",2,2,"Friendly"
1178,"1928-11-17","Wales","England",2,3,"British Home Championship"
1179,"1928-12-02","Italy","Netherlands",3,2,"Friendly"
1180,"1928-12-07","El Salvador","Honduras",5,0,"Friendly"
1181,"1929-02-02","Wales","Northern Ireland",2,2,"British Home Championship"
1182,"1929-02-10","Germany","Switzerland",7,1,"Friendly"
1183,"1929-02-23","Northern Ireland","Scotland",3,7,"British Home Championship"
1184,"1929-02-24","France","Hungary",3,0,"Friendly"
1185,"1929-03-03","Italy","Czechoslovakia",4,2,"Central European International Cup"
1186,"1929-03-17","Czechoslovakia","Austria",3,3,"Friendly"
1187,"1929-03-17","Netherlands","Switzerland",3,2,"Friendly"
1188,"1929-03-17","Spain","Portugal",5,0,"Friendly"
1189,"1929-03-24","France","Portugal",2,0,"Friendly"
1190,"1929-04-07","Austria","Italy",3,0,"Central European International Cup"
1191,"1929-04-13","Scotland","England",1,0,"British Home Championship"
1192,"1929-04-14","Spain","France",8,1,"Friendly"
1193,"1929-04-14","Switzerland","Hungary",4,5,"Central European International Cup"
1194,"1929-04-20","Barbados","Trinidad and Tobago",3,0,"Friendly"
1195,"1929-04-21","Romania","Bulgaria",3,0,"Friendly"
1196,"1929-04-22","Barbados","Trinidad and Tobago",2,0,"Friendly"
1197,"1929-04-24","Barbados","Trinidad and Tobago",2,1,"Friendly"
1198,"1929-04-28","Italy","Germany",1,2,"Friendly"
1199,"1929-04-30","Republic of Ireland","Belgium",4,0,"Friendly"
1200,"1929-05-01","El Salvador","Nicaragua",9,0,"Friendly"
1201,"1929-05-05","Austria","Hungary",2,2,"Friendly"
1202,"1929-05-05","Belgium","Netherlands",3,1,"Friendly"
1203,"1929-05-05","Switzerland","Czechoslovakia",1,4,"Central European International Cup"
1204,"1929-05-09","France","England",1,4,"Friendly"
1205,"1929-05-10","Romania","Yugoslavia",2,3,"Friendly"
1206,"1929-05-11","Belgium","England",1,5,"Friendly"
1207,"1929-05-15","Kenya","Uganda",3,5,"Friendly"
1208,"1929-05-15","Spain","England",4,3,"Friendly"
1209,"1929-05-19","France","Yugoslavia",1,3,"Friendly"
1210,"1929-05-26","Belgium","France",4,1,"Friendly"
1211,"1929-05-26","Norway","Scotland",3,7,"Friendly"
1212,"1929-06-01","Germany","Scotland",1,1,"Friendly"
1213,"1929-06-04","Netherlands","Scotland",0,2,"Friendly"
1214,"1929-06-09","Sweden","Netherlands",6,2,"Friendly"
1215,"1929-06-12","Norway","Netherlands",4,4,"Friendly"
1216,"1929-06-14","Sweden","Finland",3,1,"Nordic Championship"
1217,"1929-06-16","Argentina","Uruguay",2,0,"Friendly"
1218,"1929-06-16","Sweden","Denmark",3,2,"Nordic Championship"
1219,"1929-06-16","Uruguay","Argentina",1,1,"Friendly"
1220,"1929-06-18","Norway","Finland",4,0,"Nordic Championship"
1221,"1929-06-23","Denmark","Norway",2,5,"Nordic Championship"
1222,"1929-06-23","Germany","Sweden",3,0,"Friendly"
1223,"1929-06-28","Yugoslavia","Czechoslovakia",3,3,"Friendly"
1224,"1929-06-30","Bulgaria","Greece",1,1,"Friendly"
1225,"1929-07-07","Sweden","Estonia",4,1,"Friendly"
1226,"1929-07-25","Estonia","Finland",1,1,"Friendly"
1227,"1929-07-28","Sweden","Latvia",10,0,"Friendly"
1228,"1929-08-14","Latvia","Lithuania",3,1,"Baltic Cup"
1229,"1929-08-15","Estonia","Lithuania",5,2,"Baltic Cup"
1230,"1929-08-16","Latvia","Estonia",2,2,"Baltic Cup"
1231,"1929-08-27","Finland","Estonia",2,1,"Friendly"
1232,"1929-09-08","Czechoslovakia","Hungary",1,1,"Central European International Cup"
1233,"1929-09-15","Austria","Czechoslovakia",2,1,"Friendly"
1234,"1929-09-15","Bulgaria","Romania",2,3,"Friendly"
1235,"1929-09-15","Finland","Latvia",3,1,"Friendly"
1236,"1929-09-18","Estonia","Latvia",4,1,"Friendly"
1237,"1929-09-20","Uruguay","Argentina",2,1,"Copa Newton"
1238,"1929-09-28","Argentina","Uruguay",0,0,"Copa Lipton"
1239,"1929-09-29","Norway","Sweden",2,1,"Nordic Championship"
1240,"1929-10-06","Czechoslovakia","Switzerland",5,0,"Central European International Cup"
1241,"1929-10-06","Hungary","Austria",2,1,"Friendly"
1242,"1929-10-06","Romania","Yugoslavia",2,1,"Balkan Cup"
1243,"1929-10-13","Denmark","Finland",8,0,"Nordic Championship"
1244,"1929-10-19","Northern Ireland","England",0,3,"British Home Championship"
1245,"1929-10-20","Germany","Finland",4,0,"Friendly"
1246,"1929-10-26","Trinidad and Tobago","Guyana",0,0,"Friendly"
1247,"1929-10-26","Wales","Scotland",2,4,"British Home Championship"
1248,"1929-10-27","Switzerland","Austria",1,3,"Central European International Cup"
1249,"1929-10-28","Czechoslovakia","Yugoslavia",4,3,"Friendly"
1250,"1929-11-01","Paraguay","Uruguay",3,0,"Copa América"
1251,"1929-11-02","Trinidad and Tobago","Guyana",0,1,"Friendly"
1252,"1929-11-03","Argentina","Peru",3,0,"Copa América"
1253,"1929-11-03","Netherlands","Norway",1,4,"Friendly"
1254,"1929-11-03","Trinidad and Tobago","Guyana",3,1,"Friendly"
1255,"1929-11-10","Argentina","Paraguay",4,1,"Copa América"
1256,"1929-11-11","Peru","Uruguay",1,4,"Copa América"
1257,"1929-11-11","Trinidad and Tobago","Guyana",1,1,"Friendly"
1258,"1929-11-12","Trinidad and Tobago","Guyana",0,1,"Friendly"
1259,"1929-11-16","Paraguay","Peru",5,0,"Copa América"
1260,"1929-11-17","Argentina","Uruguay",2,0,"Copa América"
1261,"1929-11-20","England","Wales",6,0,"British Home Championship"
1262,"1929-12-01","Italy","Portugal",6,1,"Friendly"
1263,"1930-01-01","Spain","Czechoslovakia",1,0,"Friendly"
1264,"1930-01-12","Portugal","Czechoslovakia",1,0,"Friendly"
1265,"1930-01-26","Greece","Yugoslavia",2,1,"Balkan Cup"
1266,"1930-02-01","Northern Ireland","Wales",7,0,"British Home Championship"
1267,"1930-02-09","Italy","Switzerland",4,2,"Friendly"
1268,"1930-02-16","Kenya","Uganda",0,0,"Friendly"
1269,"1930-02-22","Scotland","Northern Ireland",3,1,"British Home Championship"
1270,"1930-02-23","Portugal","France",2,0,"Friendly"
1271,"1930-03-02","Germany","Italy",0,2,"Friendly"
1272,"1930-03-23","Czechoslovakia","Austria",2,2,"Friendly"
1273,"1930-03-23","France","Switzerland",3,3,"Friendly"
1274,"1930-04-05","England","Scotland",5,2,"British Home Championship"
1275,"1930-04-06","Netherlands","Italy",1,1,"Friendly"
1276,"1930-04-13","France","Belgium",1,6,"Friendly"
1277,"1930-04-13","Switzerland","Hungary",2,2,"Friendly"
1278,"1930-04-13","Yugoslavia","Bulgaria",6,1,"Friendly"
1279,"1930-04-20","Curaçao","Aruba",2,1,"Friendly"
1280,"1930-05-01","Czechoslovakia","Hungary",1,1,"Friendly"
1281,"1930-05-01","Uganda","Kenya",5,0,"Friendly"
1282,"1930-05-04","Netherlands","Belgium",2,2,"Friendly"
1283,"1930-05-04","Switzerland","Germany",0,5,"Friendly"
1284,"1930-05-04","Yugoslavia","Romania",2,1,"Friendly"
1285,"1930-05-10","Germany","England",3,3,"Friendly"
1286,"1930-05-11","Belgium","Republic of Ireland",1,3,"Friendly"
1287,"1930-05-11","France","Czechoslovakia",2,3,"Friendly"
1288,"1930-05-11","Hungary","Italy",0,5,"Central European International Cup"
1289,"1930-05-14","Austria","England",0,0,"Friendly"
1290,"1930-05-18","Belgium","Netherlands",3,1,"Friendly"
1291,"1930-05-18","France","Scotland",0,2,"Friendly"
1292,"1930-05-25","Argentina","Uruguay",1,1,"Copa Newton"
1293,"1930-05-25","Belgium","France",1,2,"Friendly"
1294,"1930-05-25","Romania","Greece",8,1,"Balkan Cup"
1295,"1930-05-27","China PR","Philippines",5,0,"Friendly"
1296,"1930-05-29","Japan","China PR",3,3,"Friendly"
1297,"1930-06-01","Hungary","Austria",2,1,"Friendly"
1298,"1930-06-01","Norway","Finland",6,2,"Nordic Championship"
1299,"1930-06-08","Belgium","Portugal",2,1,"Friendly"
1300,"1930-06-08","Hungary","Netherlands",6,2,"Friendly"
1301,"1930-06-08","Catalonia","Basque Country",0,1,"Friendly"
1302,"1930-06-14","Czechoslovakia","Spain",2,0,"Friendly"
1303,"1930-06-15","Bulgaria","Yugoslavia",2,2,"Friendly"
1304,"1930-06-15","Sweden","Switzerland",1,0,"Friendly"
1305,"1930-06-16","Finland","Denmark",1,6,"Nordic Championship"
1306,"1930-06-19","Norway","Switzerland",3,0,"Friendly"
1307,"1930-06-22","Denmark","Sweden",6,1,"Nordic Championship"
1308,"1930-06-22","Italy","Spain",2,3,"Friendly"
1309,"1930-06-27","Estonia","Latvia",1,1,"Friendly"
1310,"1930-07-06","Sweden","Norway",6,3,"Nordic Championship"
1311,"1930-07-13","Belgium","United States",0,3,"FIFA World Cup"
1312,"1930-07-13","France","Mexico",4,1,"FIFA World Cup"
1313,"1930-07-14","Brazil","Yugoslavia",1,2,"FIFA World Cup"
1314,"1930-07-14","Peru","Romania",1,3,"FIFA World Cup"
1315,"1930-07-15","Argentina","France",1,0,"FIFA World Cup"
1316,"1930-07-16","Chile","Mexico",3,0,"FIFA World Cup"
1317,"1930-07-17","Bolivia","Yugoslavia",0,4,"FIFA World Cup"
1318,"1930-07-17","Paraguay","United States",0,3,"FIFA World Cup"
1319,"1930-07-18","Estonia","Sweden",1,5,"Friendly"
1320,"1930-07-18","Uruguay","Peru",1,0,"FIFA World Cup"
1321,"1930-07-19","Argentina","Mexico",6,3,"FIFA World Cup"
1322,"1930-07-19","Chile","France",1,0,"FIFA World Cup"
1323,"1930-07-20","Belgium","Paraguay",0,1,"FIFA World Cup"
1324,"1930-07-20","Bolivia","Brazil",0,4,"FIFA World Cup"
1325,"1930-07-21","Uruguay","Romania",4,0,"FIFA World Cup"
1326,"1930-07-22","Argentina","Chile",3,1,"FIFA World Cup"
1327,"1930-07-22","Latvia","Sweden",0,5,"Friendly"
1328,"1930-07-26","Argentina","United States",6,1,"FIFA World Cup"
1329,"1930-07-27","Uruguay","Yugoslavia",6,1,"FIFA World Cup"
1330,"1930-07-30","Uruguay","Argentina",4,2,"FIFA World Cup"
1331,"1930-08-01","Brazil","France",3,2,"Friendly"
1332,"1930-08-03","Argentina","Yugoslavia",3,1,"Friendly"
1333,"1930-08-04","Latvia","Finland",3,0,"Friendly"
1334,"1930-08-06","Estonia","Finland",4,0,"Friendly"
1335,"1930-08-10","Brazil","Yugoslavia",4,1,"Friendly"
1336,"1930-08-15","Lithuania","Estonia",2,1,"Baltic Cup"
1337,"1930-08-16","Estonia","Latvia",2,3,"Baltic Cup"
1338,"1930-08-17","Brazil","United States",4,3,"Friendly"
1339,"1930-08-17","Lithuania","Latvia",3,3,"Baltic Cup"
1340,"1930-09-07","Denmark","Germany",6,3,"Friendly"
1341,"1930-09-13","Lithuania","Estonia",4,0,"Friendly"
1342,"1930-09-21","Austria","Hungary",2,3,"Friendly"
1343,"1930-09-21","Belgium","Czechoslovakia",2,3,"Friendly"
1344,"1930-09-21","Norway","Denmark",1,0,"Nordic Championship"
1345,"1930-09-28","Belgium","Sweden",2,2,"Friendly"
1346,"1930-09-28","Finland","Sweden",4,4,"Nordic Championship"
1347,"1930-09-28","Germany","Hungary",5,3,"Friendly"
1348,"1930-09-28","Sweden","Poland",0,3,"Friendly"
1349,"1930-10-12","Bulgaria","Romania",5,3,"Balkan Cup"
1350,"1930-10-20","England","Northern Ireland",5,1,"British Home Championship"
1351,"1930-10-25","Scotland","Wales",1,1,"British Home Championship"
1352,"1930-10-26","Hungary","Czechoslovakia",1,1,"Friendly"
1353,"1930-10-26","Poland","Latvia",6,0,"Friendly"
1354,"1930-11-02","Germany","Norway",1,1,"Friendly"
1355,"1930-11-02","Switzerland","Netherlands",6,3,"Friendly"
1356,"1930-11-16","Austria","Sweden",4,1,"Friendly"
1357,"1930-11-16","Bulgaria","Yugoslavia",0,3,"Balkan Cup"
1358,"1930-11-22","Wales","England",0,4,"British Home Championship"
1359,"1930-11-30","Portugal","Spain",0,1,"Friendly"
1360,"1930-12-07","France","Belgium",2,2,"Friendly"
1361,"1930-12-07","Greece","Bulgaria",6,1,"Balkan Cup"
1362,"1931-01-01","Basque Country","Catalonia",3,2,"Friendly"
1363,"1931-01-25","Italy","France",5,0,"Friendly"
1364,"1931-02-11","Barbados","Martinique",3,2,"Friendly"
1365,"1931-02-12","Barbados","Martinique",0,0,"Friendly"
1366,"1931-02-15","France","Czechoslovakia",1,2,"Friendly"
1367,"1931-02-21","Northern Ireland","Scotland",0,0,"British Home Championship"
1368,"1931-02-22","Italy","Austria",2,1,"Central European International Cup"
1369,"1931-02-28","Barbados","Martinique",1,2,"Friendly"
1370,"1931-03-05","Guyana","Trinidad and Tobago",2,1,"Friendly"
1371,"1931-03-06","Barbados","Trinidad and Tobago",1,5,"Friendly"
1372,"1931-03-08","Guyana","Trinidad and Tobago",0,2,"Friendly"
1373,"1931-03-09","Barbados","Trinidad and Tobago",1,7,"Friendly"
1374,"1931-03-10","Guyana","Barbados",9,0,"Friendly"
1375,"1931-03-14","Guyana","Barbados",7,0,"Friendly"
1376,"1931-03-15","France","Germany",1,0,"Friendly"
1377,"1931-03-15","Yugoslavia","Greece",4,1,"Balkan Cup"
1378,"1931-03-22","Czechoslovakia","Hungary",3,3,"Central European International Cup"
1379,"1931-03-28","Scotland","England",2,0,"British Home Championship"
1380,"1931-03-29","Netherlands","Belgium",3,2,"Friendly"
1381,"1931-03-29","Switzerland","Italy",1,1,"Central European International Cup"
1382,"1931-04-05","Curaçao","Aruba",1,0,"Friendly"
1383,"1931-04-12","Austria","Czechoslovakia",2,1,"Central European International Cup"
1384,"1931-04-12","Hungary","Switzerland",6,2,"Central European International Cup"
1385,"1931-04-12","Portugal","Italy",0,2,"Friendly"
1386,"1931-04-19","Paraguay","Argentina",0,1,"Friendly"
1387,"1931-04-19","Spain","Italy",0,0,"Friendly"
1388,"1931-04-19","Yugoslavia","Bulgaria",1,0,"Balkan Cup"
1389,"1931-04-22","Wales","Northern Ireland",3,2,"British Home Championship"
1390,"1931-04-25","Paraguay","Argentina",1,1,"Friendly"
1391,"1931-04-26","Netherlands","Germany",1,1,"Friendly"
1392,"1931-04-26","Spain","Republic of Ireland",1,1,"Friendly"
1393,"1931-05-03","Austria","Hungary",0,0,"Central European International Cup"
1394,"1931-05-03","Belgium","Netherlands",4,2,"Friendly"
1395,"1931-05-10","Romania","Bulgaria",5,2,"Balkan Cup"
1396,"1931-05-14","France","England",5,2,"Friendly"
1397,"1931-05-16","Austria","Scotland",5,0,"Friendly"
1398,"1931-05-16","Belgium","England",1,4,"Friendly"
1399,"1931-05-20","Italy","Scotland",3,0,"Friendly"
1400,"1931-05-21","Yugoslavia","Hungary",3,2,"Friendly"
1401,"1931-05-24","Germany","Austria",0,6,"Friendly"
1402,"1931-05-24","Switzerland","Scotland",2,3,"Friendly"
1403,"1931-05-25","Denmark","Norway",3,1,"Nordic Championship"
1404,"1931-05-28","Latvia","Estonia",0,1,"Friendly"
1405,"1931-05-31","Portugal","Belgium",3,2,"Friendly"
1406,"1931-06-09","Estonia","Lithuania",4,1,"Friendly"
1407,"1931-06-13","Czechoslovakia","Switzerland",7,3,"Central European International Cup"
1408,"1931-06-14","Denmark","Netherlands",0,2,"Friendly"
1409,"1931-06-14","Poland","Czechoslovakia",0,4,"Friendly"
1410,"1931-06-16","Austria","Switzerland",2,0,"Friendly"
1411,"1931-06-17","Finland","Estonia",3,1,"Friendly"
1412,"1931-06-17","Sweden","Germany",0,0,"Friendly"
1413,"1931-06-21","Norway","Germany",2,2,"Friendly"
1414,"1931-06-28","Sweden","Denmark",3,1,"Nordic Championship"
1415,"1931-06-28","Yugoslavia","Romania",2,4,"Balkan Cup"
1416,"1931-06-30","Latvia","Lithuania",5,2,"Friendly"
1417,"1931-07-03","Sweden","Finland",8,2,"Nordic Championship"
1418,"1931-07-04","Argentina","Paraguay",1,1,"Copa Chevallier Boutell"
1419,"1931-07-08","Sweden","Estonia",3,1,"Friendly"
1420,"1931-07-09","Argentina","Paraguay",3,1,"Copa Chevallier Boutell"
1421,"1931-07-26","Sweden","Latvia",6,0,"Friendly"
1422,"1931-08-02","Yugoslavia","Czechoslovakia",2,1,"Friendly"
1423,"1931-08-19","Finland","Latvia",4,0,"Friendly"
1424,"1931-08-23","Poland","Romania",2,3,"Friendly"
1425,"1931-08-26","Lithuania","Romania",2,4,"Friendly"
1426,"1931-08-30","Estonia","Lithuania",2,0,"Baltic Cup"
1427,"1931-08-31","Latvia","Lithuania",1,0,"Baltic Cup"
1428,"1931-09-01","Estonia","Latvia",3,1,"Baltic Cup"
1429,"1931-09-06","Brazil","Uruguay",2,0,"Copa Rio Branco"
1430,"1931-09-06","Finland","Norway",4,4,"Nordic Championship"
1431,"1931-09-13","Austria","Germany",5,0,"Friendly"
1432,"1931-09-19","Scotland","Northern Ireland",3,1,"British Home Championship"
1433,"1931-09-20","Hungary","Czechoslovakia",3,0,"Friendly"
1434,"1931-09-27","Bulgaria","Turkey",5,1,"Balkan Cup"
1435,"1931-09-27","Germany","Denmark",4,2,"Friendly"
1436,"1931-09-27","Latvia","Estonia",2,1,"Friendly"
1437,"1931-09-27","Norway","Sweden",2,1,"Nordic Championship"
1438,"1931-10-02","Turkey","Yugoslavia",2,0,"Balkan Cup"
1439,"1931-10-04","Bulgaria","Yugoslavia",3,2,"Balkan Cup"
1440,"1931-10-04","Hungary","Austria",2,2,"Central European International Cup"
1441,"1931-10-11","Belgium","Poland",2,1,"Friendly"
1442,"1931-10-11","Denmark","Finland",2,3,"Nordic Championship"
1443,"1931-10-17","Kenya","Uganda",2,1,"Friendly"
1444,"1931-10-17","Northern Ireland","England",2,6,"British Home Championship"
1445,"1931-10-25","Bulgaria","Greece",2,1,"Balkan Cup"
1446,"1931-10-25","Poland","Yugoslavia",6,3,"Friendly"
1447,"1931-10-31","Wales","Scotland",2,3,"British Home Championship"
1448,"1931-11-08","Hungary","Sweden",3,1,"Friendly"
1449,"1931-11-15","Italy","Czechoslovakia",2,2,"Central European International Cup"
1450,"1931-11-18","England","Wales",3,1,"British Home Championship"
1451,"1931-11-29","France","Netherlands",3,4,"Friendly"
1452,"1931-11-29","Greece","Romania",2,4,"Balkan Cup"
1453,"1931-11-29","Switzerland","Austria",1,8,"Central European International Cup"
1454,"1931-12-05","Northern Ireland","Wales",4,0,"British Home Championship"
1455,"1931-12-06","Belgium","Switzerland",2,1,"Friendly"
1456,"1931-12-09","England","Spain",7,1,"Friendly"
1457,"1931-12-13","Republic of Ireland","Spain",0,5,"Friendly"
1458,"1931-12-13","Italy","Hungary",3,2,"Central European International Cup"
1459,"1932-02-14","Italy","Switzerland",3,0,"Central European International Cup"
1460,"1932-02-19","Egypt","Hungary",0,0,"Friendly"
1461,"1932-03-06","Germany","Switzerland",2,0,"Friendly"
1462,"1932-03-13","Haiti","Jamaica",4,1,"Friendly"
1463,"1932-03-20","Austria","Italy",2,1,"Central European International Cup"
1464,"1932-03-20","Belgium","Netherlands",1,4,"Friendly"
1465,"1932-03-20","Czechoslovakia","Hungary",1,3,"Friendly"
1466,"1932-03-20","Haiti","Jamaica",0,1,"Friendly"
1467,"1932-03-20","Switzerland","France",3,3,"Friendly"
1468,"1932-03-23","Dominica","Martinique",1,0,"Friendly"
1469,"1932-03-27","Greece","Bulgaria",1,2,"Friendly"
1470,"1932-03-30","Greece","Bulgaria",2,2,"Friendly"
1471,"1932-04-09","England","Scotland",3,0,"British Home Championship"
1472,"1932-04-10","France","Italy",1,2,"Friendly"
1473,"1932-04-15","Guyana","Trinidad and Tobago",1,0,"Friendly"
1474,"1932-04-17","Barbados","Trinidad and Tobago",1,0,"Friendly"
1475,"1932-04-17","Netherlands","Belgium",2,1,"Friendly"
1476,"1932-04-17","Switzerland","Czechoslovakia",5,1,"Central European International Cup"
1477,"1932-04-19","Barbados","Guyana",0,1,"Friendly"
1478,"1932-04-21","Barbados","Guyana",2,2,"Friendly"
1479,"1932-04-23","Guyana","Trinidad and Tobago",1,2,"Friendly"
1480,"1932-04-24","Austria","Hungary",8,2,"Friendly"
1481,"1932-04-24","Spain","Yugoslavia",2,1,"Friendly"
1482,"1932-04-26","Barbados","Trinidad and Tobago",1,3,"Friendly"
1483,"1932-05-01","Belgium","France",5,2,"Friendly"
1484,"1932-05-03","Portugal","Yugoslavia",3,2,"Friendly"
1485,"1932-05-08","France","Scotland",1,3,"Friendly"
1486,"1932-05-08","Hungary","Italy",1,1,"Central European International Cup"
1487,"1932-05-08","Netherlands","Republic of Ireland",0,2,"Friendly"
1488,"1932-05-15","Argentina","Uruguay",2,0,"Friendly"
1489,"1932-05-16","Sweden","Finland",7,1,"Friendly"
1490,"1932-05-18","Uruguay","Argentina",1,0,"Friendly"
1491,"1932-05-22","Czechoslovakia","Austria",1,1,"Central European International Cup"
1492,"1932-05-29","Netherlands","Czechoslovakia",1,2,"Friendly"
1493,"1932-05-29","Yugoslavia","Poland",0,3,"Friendly"
1494,"1932-06-01","Estonia","Latvia",3,0,"Friendly"
1495,"1932-06-05","Denmark","Belgium",3,4,"Friendly"
1496,"1932-06-05","Norway","Estonia",3,0,"Friendly"
1497,"1932-06-05","Yugoslavia","France",2,1,"Friendly"
1498,"1932-06-09","Bulgaria","France",3,5,"Friendly"
1499,"1932-06-10","Finland","Sweden",1,3,"Nordic Championship"
1500,"1932-06-12","Romania","France",6,3,"Friendly"
1501,"1932-06-12","Sweden","Belgium",3,1,"Friendly"
